"STNID","NAME","CTRY","COUNTRY_NAME","ISO2C","ISO3C","STATE","LATITUDE","LONGITUDE","ELEVATION","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH","ELEV(M)"
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-03,2013,11,3,307,8.9,23,6.8,23,992.2,23,986.1,23,NA,0,6.8,23,9.3,NA,11.1,NA,6.6,NA,9.65,"G",NA,0,0,0,0,0,0,1,1.1,86.7,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-04,2013,11,4,308,6.1,24,5,24,985.7,24,979.6,24,NA,0,3.5,24,8.8,NA,7.9,NA,3.9,"*",8.89,"G",NA,0,0,0,0,0,0,0.9,0.9,92.7,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-05,2013,11,5,309,7.2,24,5.1,24,989.5,24,983.3,24,NA,0,4.5,24,7.2,NA,10.1,NA,3.6,NA,2.54,"G",NA,0,0,0,0,0,0,0.9,1,86.5,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-06,2013,11,6,310,5.6,24,4,24,993.5,24,987.3,24,NA,0,2.3,24,5.1,NA,8.8,NA,4,"*",1.27,"G",NA,0,0,0,0,0,0,0.8,0.9,89.4,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-07,2013,11,7,311,7.2,24,5.8,24,1000.9,24,994.7,24,NA,0,3.1,24,5.7,NA,9.8,NA,3.7,NA,1.78,"G",NA,0,0,0,0,0,0,0.9,1,90.8,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-08,2013,11,8,312,7.7,24,6.3,24,1006.6,24,0.4,24,NA,0,3.3,24,5.7,NA,10.8,NA,5.3,NA,0.25,"G",NA,0,0,0,0,0,0,1,1,90.9,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-09,2013,11,9,313,7.3,24,5.3,24,998.3,24,992.1,24,NA,0,6.3,24,10.8,NA,9,NA,5.6,"*",6.6,"G",NA,0,0,0,0,0,0,0.9,1,87.1,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-10,2013,11,10,314,5.5,24,4,24,1004.1,24,997.8,24,NA,0,3,24,4.6,NA,8.1,NA,3.8,NA,6.6,"G",NA,0,0,0,0,0,0,0.8,0.9,90.1,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-11,2013,11,11,315,5.5,24,3.3,24,1024.7,24,18.4,24,NA,0,3.2,24,6.2,NA,7.9,NA,1,NA,1.27,"G",NA,0,0,0,0,0,0,0.8,0.9,85.7,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-12,2013,11,12,316,6.7,23,5.6,23,1021,23,14.7,23,NA,0,4.9,23,6.2,NA,8,NA,5.4,NA,0.76,"G",NA,0,0,0,0,0,0,0.9,1,92.7,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-13,2013,11,13,317,6.1,24,4.1,24,1024.5,24,18.2,24,NA,0,3.9,24,6.7,NA,9.3,NA,4.5,NA,8.38,"G",NA,0,0,0,0,0,0,0.8,0.9,87,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-14,2013,11,14,318,6.3,24,4.8,24,1018.4,24,12,24,NA,0,3.7,24,5.1,NA,7.5,NA,4.5,NA,0,"G",NA,0,0,0,0,0,0,0.9,1,90.1,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-15,2013,11,15,319,6.9,24,6.2,24,1026.2,24,19.9,24,NA,0,3.4,24,7.2,NA,8.1,NA,5.9,NA,0,"G",NA,0,0,0,0,0,0,0.9,1,95.3,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-16,2013,11,16,320,9,24,7.9,24,1024.1,24,17.8,24,NA,0,5.9,24,7.2,NA,9.8,NA,6.9,NA,0,"G",NA,0,0,0,0,0,0,1.1,1.1,92.8,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-17,2013,11,17,321,6.4,24,4.8,24,1023.7,24,17.4,24,NA,0,2.5,24,5.1,NA,9.6,NA,0.6,"*",0.51,"G",NA,0,0,0,0,0,0,0.9,1,89.5,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-18,2013,11,18,322,5.6,24,5.1,24,1010.9,24,4.6,24,NA,0,1.9,24,3.6,NA,6.7,NA,0.4,NA,0,"G",NA,0,0,0,0,0,0,0.9,0.9,96.6,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-19,2013,11,19,323,5.2,24,4.6,24,1005,24,998.7,24,NA,0,3.2,24,5.7,NA,6.3,NA,1.6,"*",0.51,"G",NA,0,0,0,0,0,0,0.8,0.9,95.9,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-20,2013,11,20,324,0,24,-0.8,24,1005.7,24,999.3,24,NA,0,0.6,24,2.1,NA,5.1,NA,-2.5,NA,3.56,"G",NA,0,0,0,0,0,0,0.6,0.6,94.3,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-21,2013,11,21,325,1.8,24,1.3,24,1006.8,24,0.4,24,NA,0,2.3,24,3.6,NA,4.2,"*",-1.6,NA,0.25,"G",NA,0,0,0,0,0,0,0.7,0.7,96.5,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-22,2013,11,22,326,4.2,24,3.2,24,1015.2,24,8.9,24,NA,0,2.8,24,3.6,NA,4.9,NA,3.3,"*",3.56,"G",NA,0,0,0,0,0,0,0.8,0.8,93.2,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-23,2013,11,23,327,3.1,24,2.2,24,1019.3,24,12.9,24,NA,0,2.1,24,3.1,NA,5.3,NA,-0.5,NA,1.02,"G",NA,0,0,0,0,0,0,0.7,0.8,93.8,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-24,2013,11,24,328,2.9,24,-1.2,24,1020.8,24,14.3,24,NA,0,4.4,24,7.2,NA,5.9,NA,-1.2,"*",0,"G",NA,0,0,0,0,0,0,0.6,0.8,74.4,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-25,2013,11,25,329,0.6,24,-1.7,24,1028.6,24,22.1,24,NA,0,2.7,24,5.1,NA,4.4,NA,-2.7,NA,0,"G",NA,0,0,0,0,0,0,0.5,0.6,84.6,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-26,2013,11,26,330,1.2,23,-0.1,23,1032,23,25.5,23,NA,0,2.1,23,3.6,NA,4.2,"*",-2.5,NA,0,"G",NA,0,0,0,0,0,0,0.6,0.7,91,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-27,2013,11,27,331,7.4,24,6.8,24,1023.9,24,17.5,24,NA,0,6.6,24,8.8,NA,8.8,NA,2.5,NA,1.78,"G",NA,0,0,0,0,0,0,1,1,96,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-28,2013,11,28,332,6.7,24,2.9,24,1022.6,24,16.3,24,NA,0,7.3,24,9.3,NA,8.8,NA,3.1,"*",1.02,"G",NA,0,0,0,0,0,0,0.8,1,76.7,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-29,2013,11,29,333,4.4,24,3.3,24,1009.5,24,3.2,24,NA,0,4.3,24,6.7,NA,6.4,NA,1.8,NA,0,"G",NA,0,0,0,0,0,0,0.8,0.8,92.6,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-11-30,2013,11,30,334,4.7,24,2.9,24,1014,24,7.7,24,NA,0,3.9,24,6.7,NA,5.8,NA,3.4,"*",7.87,"G",NA,0,0,0,0,0,0,0.8,0.9,88.1,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-01,2013,12,1,335,6.7,24,3.7,24,1020.6,24,14.2,24,NA,0,6.8,24,10.8,NA,8.8,NA,2.4,"*",0.25,"G",NA,0,0,0,0,0,0,0.8,1,81.2,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-02,2013,12,2,336,2.3,24,1.7,24,1032.9,24,26.3,24,NA,0,2.2,24,2.6,NA,6.1,NA,-1.1,NA,0.51,"G",NA,0,0,0,0,0,0,0.7,0.7,95.8,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-03,2013,12,3,337,4.9,22,3.8,22,1025.2,22,18.8,22,NA,0,3.8,22,5.7,NA,6.4,"*",2.8,NA,0,"G",NA,0,0,0,0,0,0,0.8,0.9,92.6,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-04,2013,12,4,338,5.6,24,3.9,24,1016,24,9.7,24,NA,0,5.6,24,7.2,NA,7.9,NA,3.2,NA,0.25,"G",NA,0,0,0,0,0,0,0.8,0.9,88.8,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-05,2013,12,5,339,4.1,24,1.3,24,997.8,24,991.6,24,NA,0,11.1,24,18.5,NA,6.1,NA,0.2,"*",1.02,"G",NA,0,0,0,0,0,0,0.7,0.8,82,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-06,2013,12,6,340,2.3,24,-2.7,24,998.4,24,992.1,24,NA,0,11.7,24,13.9,NA,4,NA,-0.2,NA,14.22,"G",NA,0,0,0,0,0,0,0.5,0.7,69.5,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-07,2013,12,7,341,-0.5,24,-4.4,24,1016.9,24,10.4,24,NA,0,4.6,24,9.3,NA,1.9,NA,-2.1,"*",1.52,"G",NA,0,0,0,0,0,0,0.4,0.6,74.9,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-08,2013,12,8,342,4.5,24,3.7,24,1012.8,24,6.5,24,NA,0,5.8,24,10.3,NA,7.8,"*",-2.2,NA,0.25,"G",NA,0,0,0,0,0,0,0.8,0.8,94.5,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-09,2013,12,9,343,8,24,7.9,24,1019.2,24,12.9,24,NA,0,2.1,24,3.6,NA,9.1,NA,7.2,NA,13.72,"G",NA,0,0,0,0,0,0,1.1,1.1,99.3,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-10,2013,12,10,344,7.1,24,6.8,24,1031,24,24.6,24,NA,0,4.2,24,6.2,NA,8.3,NA,5.5,"*",1.02,"G",NA,0,0,0,0,0,0,1,1,98,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-11,2013,12,11,345,5.6,24,4.8,24,1030.9,24,24.5,24,NA,0,4.4,24,5.7,NA,6.4,NA,2.4,"*",0,"G",NA,0,0,0,0,0,0,0.9,0.9,94.6,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-12,2013,12,12,346,2.2,24,1.9,24,1025.2,24,18.7,24,NA,0,5,24,7.7,NA,5.7,NA,1,NA,0,"G",NA,0,0,0,0,0,0,0.7,0.7,97.9,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-13,2013,12,13,347,4.6,24,4.4,24,1020.5,24,14.2,24,NA,0,3.7,24,8.2,NA,5.2,NA,2.1,NA,0.51,"G",NA,0,0,0,0,0,0,0.8,0.8,98.6,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-14,2013,12,14,348,3.8,24,3.5,24,1020.1,24,13.7,24,NA,0,4,24,7.2,NA,5.7,NA,1.8,NA,7.37,"G",NA,0,0,0,0,0,0,0.8,0.8,97.9,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-15,2013,12,15,349,6.6,24,5.6,24,1019.3,24,13,24,NA,0,6.5,24,8.8,NA,8.6,NA,4.2,NA,2.03,"G",NA,0,0,0,0,0,0,0.9,1,93.3,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-16,2013,12,16,350,7.8,24,6.5,24,1017.4,24,11.1,24,NA,0,6.7,24,9.3,NA,9.5,NA,6.4,NA,1.78,"G",NA,0,0,0,0,0,0,1,1.1,91.5,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-17,2013,12,17,351,4.5,24,4.1,24,1021.9,24,15.5,24,NA,0,2.8,24,5.7,NA,9.6,NA,1.9,"*",1.02,"G",NA,0,0,0,0,0,0,0.8,0.8,97.2,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-18,2013,12,18,352,4.6,24,3.8,24,1016.5,24,10.2,24,NA,0,4,24,5.7,NA,6.3,"*",0.3,NA,2.54,"G",NA,0,0,0,0,0,0,0.8,0.8,94.5,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-19,2013,12,19,353,5.6,24,4.7,24,1003.6,24,997.3,24,NA,0,5,24,8.2,NA,7.1,NA,3.5,"*",0.51,"G",NA,0,0,0,0,0,0,0.9,0.9,93.9,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-20,2013,12,20,354,4.3,24,3.3,24,1015.4,24,9.1,24,NA,0,5.2,24,7.2,NA,5.8,"*",2.2,NA,3.81,"G",NA,0,0,0,0,0,0,0.8,0.8,93.2,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-21,2013,12,21,355,6.1,24,5,24,1014.2,24,7.9,24,NA,0,8,24,10.3,NA,6.7,NA,4.2,NA,2.79,"G",NA,0,0,0,0,0,0,0.9,0.9,92.7,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-22,2013,12,22,356,6.6,24,4.8,24,1005.5,24,999.3,24,NA,0,8.1,24,10.3,NA,7.5,NA,5.1,NA,2.79,"G",NA,0,0,0,0,0,0,0.9,1,88.3,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-23,2013,12,23,357,4.9,24,2.7,24,1005,24,998.7,24,NA,0,7.2,24,11.3,NA,6.9,NA,3.6,NA,6.6,"G",NA,0,0,0,0,0,0,0.7,0.9,85.7,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-24,2013,12,24,358,8.8,24,6.1,24,988,24,981.9,24,NA,0,9,24,11.3,NA,10.3,NA,5.6,NA,2.54,"G",NA,0,0,0,0,0,0,0.9,1.1,83.2,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-25,2013,12,25,359,6.6,24,5.2,24,988.3,24,982.2,24,NA,0,4.7,24,8.8,NA,10.2,NA,4.2,"*",10.67,"G",NA,0,0,0,0,0,0,0.9,1,90.8,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-26,2013,12,26,360,2,24,1.8,24,998.4,24,992.1,24,NA,0,1.3,24,2.6,NA,5.9,NA,-0.8,NA,1.02,"G",NA,0,0,0,0,0,0,0.7,0.7,98.6,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-27,2013,12,27,361,5,24,4.1,24,994.6,24,988.4,24,NA,0,7.3,24,11.8,NA,7.4,"*",0.8,NA,1.27,"G",NA,0,0,0,0,0,0,0.8,0.9,93.9,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-28,2013,12,28,362,6.5,24,4.8,24,996.8,24,990.6,24,NA,0,5.9,24,7.7,NA,7.7,NA,4.5,"*",7.37,"G",NA,0,0,0,0,0,0,0.9,1,88.9,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-29,2013,12,29,363,5.1,24,4.1,24,1008,24,1.7,24,NA,0,4.7,24,6.2,NA,6.1,NA,4.3,NA,0,"G",NA,0,0,0,0,0,0,0.8,0.9,93.3,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-30,2013,12,30,364,4.4,24,2.4,24,1018,24,11.7,24,NA,0,6.4,24,8.8,NA,5.3,NA,3.6,NA,1.52,"G",NA,0,0,0,0,0,0,0.7,0.8,86.8,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2013-12-31,2013,12,31,365,4.3,24,2,24,1014.9,24,8.6,24,NA,0,4.8,24,6.7,NA,5.5,NA,3.1,"*",0,"G",NA,0,0,0,0,0,0,0.7,0.8,85,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-01,2014,1,1,1,3.2,24,1.8,24,1008,24,1.7,24,NA,0,4.2,24,5.1,NA,4.5,NA,2.5,NA,0,"G",NA,0,0,0,0,0,0,0.7,0.8,90.5,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-02,2014,1,2,2,4.9,24,3.9,24,1000.1,24,993.9,24,NA,0,5.7,24,7.2,NA,6.8,"*",2.7,NA,0.51,"G",NA,0,0,0,0,0,0,0.8,0.9,93.2,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-03,2014,1,3,3,6.1,24,5.1,24,1001.3,24,995.1,24,NA,0,6,24,9.3,NA,7.6,NA,5,NA,2.54,"G",NA,0,0,0,0,0,0,0.9,0.9,93.3,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-04,2014,1,4,4,5.8,24,3.3,24,1001.9,24,995.7,24,NA,0,6,24,8.8,NA,7.7,NA,5.1,"*",4.32,"G",NA,0,0,0,0,0,0,0.8,0.9,84,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-06,2014,1,6,6,7.1,16,6.4,16,1000.8,16,994.6,16,NA,0,7,16,9.3,NA,8.8,NA,3.1,NA,10.92,"E",NA,0,0,0,0,0,0,1,1,95.3,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-07,2014,1,7,7,8.6,23,6.4,23,1004.8,23,998.6,23,NA,0,6.9,23,9.3,NA,9.4,NA,7.7,NA,4.06,"E",NA,0,0,0,0,0,0,1,1.1,86.1,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-08,2014,1,8,8,7.9,22,6.2,22,1008.3,22,2.1,22,NA,0,7.6,22,8.8,NA,8.9,NA,6.7,"*",0.51,"G",NA,0,0,0,0,0,0,0.9,1.1,89,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-09,2014,1,9,9,6.7,24,5.4,24,997.7,24,991.5,24,NA,0,7.9,24,13.4,NA,9.5,NA,5.2,"*",0.51,"G",NA,0,0,0,0,0,0,0.9,1,91.4,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-10,2014,1,10,10,5.8,24,3.9,24,1003.7,24,997.5,24,NA,0,6.9,24,8.8,NA,7,NA,4.7,NA,13.46,"G",NA,0,0,0,0,0,0,0.8,0.9,87.6,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-11,2014,1,11,11,5.3,24,3.9,24,1006.7,24,0.5,24,NA,0,6.4,24,8.2,NA,6.8,NA,3.3,"*",0,"G",NA,0,0,0,0,0,0,0.8,0.9,90.7,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-12,2014,1,12,12,3.2,24,0.6,24,1015.1,24,8.8,24,NA,0,5.1,24,8.8,NA,5.5,NA,-0.4,"*",5.33,"G",NA,0,0,0,0,0,0,0.6,0.8,83.1,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-13,2014,1,13,13,1.6,24,-0.1,24,1010.3,24,3.9,24,NA,0,4,24,6.7,NA,4.6,"*",-0.6,NA,0.51,"G",NA,0,0,0,0,0,0,0.6,0.7,88.5,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-14,2014,1,14,14,4.2,24,3.8,24,1009.5,24,3.2,24,NA,0,2.2,24,3.6,NA,5.7,NA,3.5,NA,1.78,"G",NA,0,0,0,0,0,0,0.8,0.8,97.2,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-15,2014,1,15,15,3.3,24,2.1,24,1009.9,24,3.6,24,NA,0,4.1,24,5.7,NA,4.1,NA,2.6,"*",0.25,"G",NA,0,0,0,0,0,0,0.7,0.8,91.8,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-16,2014,1,16,16,1.8,24,1,24,1004.5,24,998.1,24,NA,0,6.3,24,9.3,NA,3.2,NA,1.2,"*",1.27,"G",NA,0,0,0,0,0,0,0.7,0.7,94.4,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-17,2014,1,17,17,1.9,24,1.9,24,1002.1,24,995.8,24,NA,0,5.6,24,7.2,NA,3.1,NA,0.1,NA,8.89,"G",NA,0,0,0,0,0,0,0.7,0.7,100,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-18,2014,1,18,18,3,24,2.7,24,1007.6,24,1.3,24,NA,0,7.7,24,10.3,NA,3.2,NA,2.7,NA,3.05,"G",NA,0,0,0,0,0,0,0.7,0.8,97.9,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-19,2014,1,19,19,2.2,24,0.8,24,1011.2,24,4.9,24,NA,0,9.9,24,11.3,NA,3.2,NA,1.3,NA,0.51,"G",NA,0,0,0,0,0,0,0.6,0.7,90.5,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-20,2014,1,20,20,1.2,24,0.3,24,1012,24,5.6,24,NA,0,7.8,24,10.8,NA,2,NA,0.8,"*",0,"G",NA,0,0,0,0,0,0,0.6,0.7,93.7,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-21,2014,1,21,21,0.1,24,-0.1,24,1015.4,24,9,24,NA,0,5.2,24,6.2,NA,1.2,NA,-0.3,NA,0.25,"G",NA,0,0,0,0,0,0,0.6,0.6,98.6,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-22,2014,1,22,22,0.2,24,-2.2,24,1018.8,24,12.4,24,NA,0,5.8,24,7.2,NA,0.9,NA,-1,"*",1.52,"G",NA,0,0,0,0,0,0,0.5,0.6,83.9,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-23,2014,1,23,23,-2.8,24,-6.7,24,1019.8,24,13.3,24,NA,0,6.3,24,7.7,NA,0,NA,-3.8,"*",0,"G",NA,0,0,0,0,0,0,0.4,0.5,74.5,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-24,2014,1,24,24,-3,24,-7.2,24,1023,24,16.4,24,NA,0,6.3,24,8.2,NA,-1.5,NA,-4.2,NA,0,"G",NA,0,0,0,0,0,0,0.4,0.5,72.8,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-25,2014,1,25,25,-6.3,24,-9.8,24,1022.6,24,16,24,NA,0,5.6,24,8.2,NA,-2.5,NA,-7.7,"*",0,"G",NA,0,0,0,0,0,0,0.3,0.4,76.2,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-26,2014,1,26,26,-7.1,24,-9.7,24,1011.1,24,4.5,24,NA,0,6.3,24,8.2,NA,-5.7,NA,-9.2,"*",0,"G",NA,0,0,0,0,0,0,0.3,0.4,81.7,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-27,2014,1,27,27,-3.2,24,-3.7,24,996.5,24,990.1,24,NA,0,6.1,24,10.8,NA,-1.1,NA,-9.3,NA,0.51,"G",NA,0,0,0,0,0,0,0.5,0.5,96.3,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-28,2014,1,28,28,-1.4,24,-1.8,24,1005.9,24,999.4,24,NA,0,6,24,7.2,NA,-0.3,NA,-2.1,NA,2.29,"G",NA,0,0,0,0,0,0,0.5,0.6,97.1,51
"061260-99999","AARSLEV","DA","DENMARK","DK","DNK","",55.317,10.433,51,20120411,20230222,2014-01-29,2014,1,29,29,-4,24,-5.9,24,1012.3,24,5.8,24,NA,0,5.9,24,7.7,NA,-0.3,NA,-5.6,"*",0,"G",NA,0,0,0,0,0,0,0.4,0.5,86.6,51
